#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 03 18 50 240  8.0 10.0   0.6     4   3.2 254 1011.7  13.5  11.5    MM   MM -1.8    MM
2013 09 03 17 50 240  7.0  8.0   0.5     3   3.1 256 1012.3  13.2  11.5    MM   MM -1.4    MM
2013 09 03 16 50 250  7.0  7.0   0.4     3   3.1 264 1013.0  13.1  11.5    MM   MM -1.0    MM
2013 09 03 15 50 250  5.0  6.0   0.4     4   3.3 258 1013.5  13.0  11.5    MM   MM -0.8    MM
2013 09 03 14 50 250  4.0  5.0   0.4     4   3.4 254 1013.7  12.5  11.4    MM   MM -0.7    MM
2013 09 03 13 50 260  4.0  4.0   0.4     4   3.5 255 1014.0  12.6  11.3    MM   MM +0.0    MM
2013 09 03 12 50 270  5.0  5.0   0.4     5   3.5 252 1014.3  12.6  11.3    MM   MM +0.5    MM
2013 09 03 11 50 280  5.0  5.0   0.4     4   3.6 259 1014.4  12.5  11.2    MM   MM +0.7    MM
2013 09 03 10 50 270  4.0  4.0   0.4     5   3.8 257 1014.2  12.2  11.2    MM   MM +0.3    MM
2013 09 03 09 50 280  4.0  5.0   0.4     5   3.9 245 1013.8  12.5  11.2    MM   MM -0.4    MM
2013 09 03 08 50 290  4.0  4.0   0.4     5   4.0 241 1013.7  12.6  11.2    MM   MM -0.7    MM
2013 09 03 07 50 290  4.0  5.0   0.4     5   3.8 242 1013.9  12.6  11.3    MM   MM -0.3    MM
2013 09 03 06 50 270  4.0  5.0   0.4     5   3.6 244 1014.2  13.0  11.3    MM   MM -0.3    MM
2013 09 03 05 50 260  2.0  3.0   0.5     5   3.5 248 1014.4  12.5  11.4    MM   MM +0.0    MM
2013 09 03 04 50 290  4.0  5.0   0.5     4   3.4 303 1014.2  13.3  11.4    MM   MM +0.0    MM
2013 09 03 03 50 240  2.0  3.0   0.5     4   3.4 317 1014.5  12.4  11.4    MM   MM +0.4    MM
2013 09 03 02 50 300  4.0  4.0   0.5     4   3.4   4 1014.5  13.1  11.5    MM   MM +0.4    MM
2013 09 03 01 50 340  5.0  6.0   0.5     4   3.6  14 1014.1  14.7  11.5    MM   MM +0.0    MM
2013 09 03 00 50 300  3.0  3.0   0.5     4   3.7   1 1014.1  13.6  11.5    MM   MM +0.0    MM
2013 09 02 23 50 270  3.0  3.0   0.6     5   3.7   4 1014.1  12.9  11.5    MM   MM +0.0    MM
2013 09 02 22 50 320  5.0  5.0   0.6     4   3.8 349 1014.1  13.4  11.6    MM   MM +0.0    MM
2013 09 02 21 50 320  5.0  5.0   0.7     5   3.9 351 1014.2  13.2  11.5    MM   MM -0.3    MM
