#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 03 18 56  MM  2.1   MM    MM    MM    MM  MM 1013.4  18.9    MM  14.4   MM   MM    MM
2013 09 03 17 56 260  1.5   MM    MM    MM    MM  MM 1013.9  18.9    MM  14.4   MM   MM    MM
2013 09 03 16 56 260  2.6   MM    MM    MM    MM  MM 1014.4  18.9    MM  13.9   MM   MM    MM
2013 09 03 15 56 260  1.5   MM    MM    MM    MM  MM 1014.6  17.8    MM  13.3   MM   MM    MM
2013 09 03 14 56 250  3.1   MM    MM    MM    MM  MM 1015.4  16.1    MM  12.2   MM   MM    MM
2013 09 03 13 56 230  3.6   MM    MM    MM    MM  MM 1015.8  15.6    MM  10.0   MM   MM    MM
2013 09 03 12 56  MM    0   MM    MM    MM    MM  MM 1015.9  15.0    MM   8.9   MM   MM    MM
2013 09 03 11 56 310  1.5   MM    MM    MM    MM  MM 1015.6  13.3    MM   7.8   MM   MM    MM
2013 09 03 10 56 320  3.1   MM    MM    MM    MM  MM 1015.6  12.8    MM   7.8   MM   MM    MM
2013 09 03 09 56  MM    0   MM    MM    MM    MM  MM 1015.5   9.4    MM   7.2   MM   MM    MM
2013 09 03 08 56  MM    0   MM    MM    MM    MM  MM 1015.2   9.4    MM   7.8   MM   MM    MM
2013 09 03 07 56  MM    0   MM    MM    MM    MM  MM 1015.7  10.6    MM   7.8   MM   MM    MM
2013 09 03 06 56  MM    0   MM    MM    MM    MM  MM 1015.8  10.0    MM   7.8   MM   MM    MM
2013 09 03 05 56  MM    0   MM    MM    MM    MM  MM 1015.9  10.0    MM   8.3   MM   MM    MM
2013 09 03 04 56  MM    0   MM    MM    MM    MM  MM 1016.2  10.6    MM   8.9   MM   MM    MM
2013 09 03 03 56  MM    0   MM    MM    MM    MM  MM 1016.0  11.1    MM   9.4   MM   MM    MM
2013 09 03 02 56  MM    0   MM    MM    MM    MM  MM 1016.1  11.1    MM   9.4   MM   MM    MM
2013 09 03 01 56  MM    0   MM    MM    MM    MM  MM 1016.0  12.8    MM  10.6   MM   MM    MM
2013 09 03 00 56  MM    0   MM    MM    MM    MM  MM 1016.1  14.4    MM  12.2   MM   MM    MM
2013 09 02 23 56 250  2.1   MM    MM    MM    MM  MM 1016.3  15.0    MM  12.2   MM   MM    MM
