#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2013 09 03 18 56  40  5.1   MM    MM    MM    MM  MM 1014.2  21.1    MM  13.9   MM   MM    MM
2013 09 03 17 56  30  4.1   MM    MM    MM    MM  MM 1014.5  21.1    MM  11.1   MM   MM    MM
2013 09 03 16 56 340  2.6   MM    MM    MM    MM  MM 1015.0  20.6    MM  10.6   MM   MM    MM
2013 09 03 15 56 340  4.1   MM    MM    MM    MM  MM 1015.7  19.4    MM  11.7   MM   MM    MM
2013 09 03 14 56 330  5.7   MM    MM    MM    MM  MM 1015.9  18.3    MM  12.2   MM   MM    MM
2013 09 03 13 56 340  4.6   MM    MM    MM    MM  MM 1015.6  17.2    MM  12.8   MM   MM    MM
2013 09 03 12 56 310  4.6   MM    MM    MM    MM  MM 1015.5  16.1    MM  13.3   MM   MM    MM
2013 09 03 11 56 330  3.1   MM    MM    MM    MM  MM 1015.4  15.6    MM  13.3   MM   MM    MM
2013 09 03 10 56 330  5.7   MM    MM    MM    MM  MM 1014.7  15.0    MM  13.3   MM   MM    MM
2013 09 03 09 56 320  5.7   MM    MM    MM    MM  MM 1014.5  15.0    MM  13.3   MM   MM    MM
2013 09 03 08 56 320  5.1   MM    MM    MM    MM  MM 1014.6  15.0    MM  13.3   MM   MM    MM
2013 09 03 07 56 310  5.1   MM    MM    MM    MM  MM 1014.7  15.0    MM  12.8   MM   MM    MM
2013 09 03 06 56 320  6.2   MM    MM    MM    MM  MM 1014.8  15.0    MM  12.8   MM   MM    MM
2013 09 03 05 56 320  5.1   MM    MM    MM    MM  MM 1014.9  15.0    MM  12.2   MM   MM    MM
2013 09 03 04 56 310  4.6   MM    MM    MM    MM  MM 1014.9  15.6    MM  12.2   MM   MM    MM
2013 09 03 03 56 330  5.1   MM    MM    MM    MM  MM 1014.9  16.1    MM  11.7   MM   MM    MM
2013 09 03 02 56 340  5.7   MM    MM    MM    MM  MM 1015.0  16.1    MM  11.1   MM   MM    MM
2013 09 03 01 56 330  5.7  9.3    MM    MM    MM  MM 1014.8  16.1    MM  11.1   MM   MM    MM
2013 09 03 00 56 330  5.1  9.3    MM    MM    MM  MM 1014.3  16.1    MM  10.6   MM   MM    MM
2013 09 02 23 56 340  6.7 10.8    MM    MM    MM  MM 1014.2  15.6    MM  10.6   MM   MM    MM
2013 09 02 22 56 340  8.8 14.9    MM    MM    MM  MM 1014.1  15.6    MM  10.0   MM   MM    MM
2013 09 02 21 56 340  8.8 13.9    MM    MM    MM  MM 1014.0  15.0    MM  10.0   MM   MM    MM
2013 09 02 20 56 340 10.8 17.0    MM    MM    MM  MM 1014.2  15.0    MM   9.4   MM   MM    MM
2013 09 02 19 56 340  8.2 13.4    MM    MM    MM  MM 1014.0  14.4    MM   9.4   MM   MM    MM
2013 09 02 18 56 340  9.8 12.9    MM    MM    MM  MM 1014.1  13.9    MM  10.0   MM   MM    MM
2013 09 02 17 56 340  9.3 13.9    MM    MM    MM  MM 1013.8  13.9    MM  10.0   MM   MM    MM
2013 09 02 16 56 340  9.3 14.4    MM    MM    MM  MM 1013.7  13.3    MM  10.0   MM   MM    MM
2013 09 02 15 56 350 10.3 13.9    MM    MM    MM  MM 1013.3  13.3    MM  10.6   MM   MM    MM
2013 09 02 14 56 340  9.8 14.9    MM    MM    MM  MM 1013.0  13.3    MM  10.6   MM   MM    MM
2013 09 02 13 56 350  9.3 12.9    MM    MM    MM  MM 1012.7  13.3    MM  10.0   MM   MM    MM
2013 09 02 12 56 350  8.8 13.9    MM    MM    MM  MM 1012.3  13.3    MM   9.4   MM   MM    MM
2013 09 02 11 56 340  8.8 11.8    MM    MM    MM  MM 1012.0  13.3    MM   9.4   MM   MM    MM
